matchup,favorite,line,total,P(win fav),P(cover fav),ATS lean,median margin,p05,p95,vig_free_ml_win,spread_win_prob,home_bump_sign,inj_pen_fav,inj_pen_dog,off_diff_fav,off_diff_dog
BAL @ MIA,BAL,BAL -7.5,51.5,0.794,0.465,Lean dog +points,7.59,-13.69,28.99,0.776,0.794,-1,0.0,0.024,-0.11,-0.14
SF @ NYG,SF,SF -2.5,48.5,0.614,0.482,Neutral / coin‑flip,2.59,-18.69,23.99,0.58,0.611,-1,0.006,0.04,-0.11,-0.14
DEN @ HOU,HOU,HOU -1.5,39.5,0.575,0.496,Neutral / coin‑flip,1.34,-19.94,22.74,0.532,0.567,1,0.012,0.022,-0.04,-0.04
IND @ PIT,IND,IND -3.5,51.0,0.633,0.492,Neutral / coin‑flip,3.89,-17.39,25.29,0.607,0.652,-1,0.012,0.03,-0.09,-0.13
CHI @ CIN,CHI,CHI -2.5,51.5,0.592,0.463,Lean dog +points,1.89,-19.39,23.29,0.58,0.611,-1,0.012,0.024,-0.13,-0.13
CAR @ GB,GB,GB -12.5,43.5,0.917,0.373,Lean dog +points,11.94,-9.34,33.34,0.863,0.905,1,0.014,0.032,-0.12,-0.12
MIN @ DET,DET,DET -8.5,48.5,0.844,0.472,Neutral / coin‑flip,8.74,-12.54,30.14,0.776,0.822,1,0.002,0.032,-0.08,-0.11
LAC @ TEN,LAC,LAC -10.5,43.5,0.829,0.457,Lean dog +points,10.49,-10.79,31.89,0.8,0.869,-1,0.012,0.022,-0.09,-0.11
ATL @ NE,NE,NE -5.5,45.5,0.725,0.456,Lean dog +points,5.24,-16.04,26.64,0.655,0.729,1,0.012,0.03,-0.1,-0.11
JAX @ LV,JAX,JAX -3.5,44.5,0.608,0.468,Lean dog +points,3.44,-17.84,24.84,0.574,0.652,-1,0.012,0.022,-0.1,-0.12
NO @ LAR,LAR,LAR -13.5,43.5,0.915,0.388,Lean dog +points,13.69,-7.59,35.09,0.88,0.919,1,0.012,0.012,-0.09,-0.12
KC @ BUF,KC,KC -1.5,52.5,0.55,0.49,Neutral / coin‑flip,1.54,-19.74,22.94,0.543,0.567,-1,0.012,0.022,-0.08,-0.1
SEA @ WAS,SEA,SEA -3.5,48.5,0.607,0.479,Neutral / coin‑flip,3.49,-17.79,24.89,0.591,0.652,-1,0.012,0.012,-0.09,-0.11
ARI @ DAL,DAL,DAL -3.5,53.5,0.655,0.492,Neutral / coin‑flip,3.94,-17.34,25.34,0.607,0.652,1,0.002,0.012,-0.08,-0.12
